filename,phrase,meaningful_tokens,word_count,meaningful_token_count
20240310_192018_jpg.rf.e355d68566d51422ea81571c510c55da.jpg,Gas stove with blue flame cooking.,gas stove blue flame cooking,6,5
20240310_192022_jpg.rf.b8ab2e24e3df798787202c3661bccde9.jpg,Flame under a wok on a gas stove.,flame wok gas stove,8,4
20240310_192253_mp4-0000_jpg.rf.f58c0f6659846231636bddca5be6b557.jpg,Kitchen with a gas stove flame cooking.,kitchen gas stove flame cooking,7,5
20240310_192445_mp4-0004_jpg.rf.ed1db97d1f36662c1d68bd218283e19c.jpg,Gas stove with blue flames cooking.,gas stove blue flames cooking,6,5
IMG_3669_JPG.rf.eO3yaFzXdTXx75bSmkma.JPG,Gas stove with blue flame on white tiled kitchen.,gas stove blue flame white tiled kitchen,9,7
IMG_3673_JPG.rf.TZeMvStH0Kvtyfq1HEMW.JPG,Gas stove with blue flame on white tiled kitchen wall.,gas stove blue flame white tiled kitchen wall,10,8
IMG_3675_JPG.rf.DNujog7n69vDjZwTkKxk.JPG,Gas stove with blue flames burning in a tiled kitchen.,gas stove blue flames burning tiled kitchen,10,7
IMG_3695_JPG.rf.1UAHk1zFIP0IiLrSePz5.JPG,Blue flame on gas stove in kitchen.,blue flame gas stove kitchen,7,5
IMG_3697_JPG.rf.1bzMJRxkH1FNV4hv8a3O.JPG,Blue flame on gas stove in kitchen.,blue flame gas stove kitchen,7,5
IMG_3700_JPG.rf.4gpc0KMhMMgWA5LC4PgF.JPG,Blue flame burning on gas stove.,blue flame burning gas stove,6,5
IMG_3703_JPG.rf.VaTnA4YMAAEueHs1g0WM.JPG,Blue flame cooking pot on stove.,blue flame cooking pot stove,6,5
IMG_3704_JPG.rf.wsabaeFX3KjHhxgOAQhi.JPG,Blue flame burning on gas stove in kitchen.,blue flame burning gas stove kitchen,8,6
IMG_3705_JPG.rf.U2fJAV3n3MOD88JFLvtP.JPG,"Gas stove with flame cooking, kitchen environment.",gas stove flame cooking kitchen,7,5
IMG_3706_JPG.rf.s7KAMamRU59QPBxgr1WT.JPG,Gas stove with blue flame cooking.,gas stove blue flame cooking,6,5
IMG_3707_JPG.rf.gSVvyjlakktjkxx1YNYC.JPG,"Gas stove with flames cooking, surrounded by tiled kitchen.",gas stove flames cooking surrounded tiled kitchen,9,7
