,freq
fireplace,149
fire,76
surrounded,58
flames,55
outdoor,53
modern,51
room,45
cozy,39
roaring,36
wood-burning,34
burning,32
living,27
realistic,26
stone,26
electric,23
greenery,22
stove,21
warm,21
pit,17
white,16
wooden,16
brick,14
setting,14
wood,14
logs,13
furniture,12
wall,11
background,10
black,8
decor,8
stylish,8
glowing,7
inside,7
patio,7
plants,7
flame,6
flickering,6
indoor,6
lit,6
floor,5
kitchen,5
potted,5
set,5
backyard,4
cooking,4
embers,4
feature,4
garden,4
gas,4
large,4
lush,4
oven,4
rustic,4
trees,4
windows,4
ambiance,3
cabin,3
campfire,3
chairs,3
crackling,3
cushions,3
deck,3
digital,3
flaming,3
inviting,3
pizza,3
tiled,3
walls,3
artificial,2
autumn,2
beige,2
books,2
cityscape,2
concrete,2
curtains,2
elements,2
frame,2
glow,2
house,2
neutral,2
ornate,2
plant,2
pool,2
vibrant,2
vintage,2
wall-mounted,2
above,1
area,1
balcony,1
beside,1
brown,1
building,1
candles,1
children,1
chips,1
clock,1
dark,1
decorative,1
desert,1
design,1
details,1
doors,1
elegant,1
empty,1
enclosed,1
enclosure,1
fence,1
fencing,1
flanked,1
foliage,1
food,1
forest,1
framed,1
glass,1
grill,1
insert,1
interior,1
lanterns,1
legs,1
light,1
lounge,1
man,1
mantel,1
mantelpiece,1
mantle,1
marble,1
minimalist,1
natural,1
nature,1
night,1
orchid,1
outdoors,1
outside,1
overlooking,1
path,1
pergola,1
poolside,1
reading,1
red,1
rocks,1
rugs,1
seating,1
sheer,1
sky,1
small,1
smooth,1
space,1
square,1
stand,1
stone-walled,1
stones,1
structure,1
surrounding,1
table,1
tall,1
television,1
tending,1
tones,1
traditional,1
tv,1
twilight,1
wavy,1
wicker,1
wood-fired,1
wood-paneled,1
wooded,1
