,freq
campfire,206
setting,82
burning,63
forest,58
outdoor,48
dark,36
dusk,27
night,25
people,19
surrounded,16
brightly,14
cooking,13
grassy,13
area,10
marshmallows,10
lakeside,9
pit,9
fire,8
flames,8
roasting,8
beach,7
environment,7
field,7
rocky,7
sunset,7
wooded,7
backyard,6
gathered,6
natural,6
nighttime,6
rocks,6
stone,6
grass,5
mountainous,5
clearing,4
forested,4
gathering,4
grill,4
open,4
background,3
child,3
children,3
glow,3
illuminates,3
large,3
sandy,3
serene,3
snowy,3
terrain,3
cozy,2
embers,2
illuminated,2
landscape,2
light,2
logs,2
metal,2
nearby,2
observing,2
ocean,2
outdoors,2
person,2
pot,2
skillet,2
sky,2
sparks,2
starry,2
surface,2
tents,2
wooden,2
adding,1
adult,1
backdrop,1
barn,1
campsite,1
can,1
chairs,1
charcoal,1
circle,1
circular,1
clear,1
coolers,1
dandelion,1
darkness,1
desert,1
dimly,1
dirt,1
distant,1
family,1
flickering,1
flying,1
foggy,1
glowing,1
gravel,1
grilling,1
group,1
islands,1
kettle,1
lake,1
leaves,1
licking,1
lit,1
luminous,1
man,1
mountains,1
mug,1
nature,1
paved,1
pebbles,1
pumpkins,1
ring,1
river,1
roaring,1
rock,1
room,1
rough,1
rural,1
rustic,1
sausages,1
scene,1
silhouettes,1
steaks,1
steaming,1
sticks,1
tent,1
trees,1
twilight,1
two,1
vehicles,1
warm,1
wood,1
