path,filename,true_label,true_label_name,yolo_detected,yolo_conf,model_a_score,model_a_clip_danger_score,model_a_best_caption_number,model_a_best_caption,model_a_best_category,model_a_best_caption_score,model_b_score,model_b_best_caption_number,model_b_best_caption,model_b_best_category,model_b_best_caption_score,model_c_score,model_c_best_category
/content/drive/MyDrive/yolo-clip images/A1/0015_FL_GAH_00002.jpg,0015_FL_GAH_00002.jpg,1,dangerous fire,TRUE,0.8168125153,0.0352469756,0.04315185547,5,Fireworks explosion in the night sky,safe-fire,0.3666992188,0.04315185547,5,Fireworks explosion in the night sky,safe-fire,0.3666992188,0.8168125153,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0019_FL_GAH_00028.jpg,0019_FL_GAH_00028.jpg,1,dangerous fire,FALSE,0,0,0,,,no-yolo-fire-detected,0,0.0387878418,11,Bright streetlamps and dense smoke create a hazy atmosphere,looks-like-fire,0.8994140625,0,no-yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0040_FL_GAH_00002.jpg,0040_FL_GAH_00002.jpg,1,dangerous fire,FALSE,0,0,0,,,no-yolo-fire-detected,0,0.07434082031,9,"Man exhales smoke from a lit cigarette, emitting visible white vapor",safe-fire,0.5078125,0,no-yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0066_FL_GAH_00002.jpg,0066_FL_GAH_00002.jpg,1,dangerous fire,TRUE,0.6526705027,0.6478902011,0.9926757813,2,Building engulfed in large flames and thick smoke,dangerous fire,0.955078125,0.9926757813,2,Building engulfed in large flames and thick smoke,dangerous fire,0.955078125,0.6526705027,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0087_FL_FWW_00100.jpg,0087_FL_FWW_00100.jpg,1,dangerous fire,TRUE,0.5519270301,0.540608214,0.9794921875,1,Flaming structure in a fenced area with debris,dangerous fire,0.671875,0.9794921875,1,Flaming structure in a fenced area with debris,dangerous fire,0.671875,0.5519270301,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0087_FL_FWW_00150.jpg,0087_FL_FWW_00150.jpg,1,dangerous fire,TRUE,0.4529891014,0.4521043571,0.998046875,1,Flaming structure in a fenced area with debris,dangerous fire,0.9965820313,0.998046875,1,Flaming structure in a fenced area with debris,dangerous fire,0.9965820313,0.4529891014,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0088_FL_FWW_00001.jpg,0088_FL_FWW_00001.jpg,1,dangerous fire,TRUE,0.726183176,0.7229919414,0.9956054688,1,Flaming structure in a fenced area with debris,dangerous fire,0.9912109375,0.9956054688,1,Flaming structure in a fenced area with debris,dangerous fire,0.9912109375,0.726183176,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0089_FL_FWW_00001.jpg,0089_FL_FWW_00001.jpg,1,dangerous fire,TRUE,0.5356639028,0.5348792388,0.9985351563,1,Flaming structure in a fenced area with debris,dangerous fire,0.9819335938,0.9985351563,1,Flaming structure in a fenced area with debris,dangerous fire,0.9819335938,0.5356639028,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0091_FL_FWW_00050.jpg,0091_FL_FWW_00050.jpg,1,dangerous fire,TRUE,0.52485919,0.5235777955,0.9975585938,1,Flaming structure in a fenced area with debris,dangerous fire,0.99609375,0.9975585938,1,Flaming structure in a fenced area with debris,dangerous fire,0.99609375,0.52485919,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0091_FL_FWW_00344.jpg,0091_FL_FWW_00344.jpg,1,dangerous fire,TRUE,0.565749824,0.5599486784,0.9897460938,1,Flaming structure in a fenced area with debris,dangerous fire,0.958984375,0.9897460938,1,Flaming structure in a fenced area with debris,dangerous fire,0.958984375,0.565749824,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0093_FL_FWW_00136.jpg,0093_FL_FWW_00136.jpg,1,dangerous fire,TRUE,0.6641076207,0.6637833494,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.9438476563,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.9438476563,0.6641076207,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0093_FL_FWW_00168.jpg,0093_FL_FWW_00168.jpg,1,dangerous fire,TRUE,0.6710134745,0.6706858312,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.9975585938,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.9975585938,0.6710134745,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0093_FL_FWW_00264.jpg,0093_FL_FWW_00264.jpg,1,dangerous fire,TRUE,0.4901566207,0.4899172865,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.998046875,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.998046875,0.4901566207,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0094_FL_FWW_00042.jpg,0094_FL_FWW_00042.jpg,1,dangerous fire,TRUE,0.3588069677,0.3588069677,1,1,Flaming structure in a fenced area with debris,dangerous fire,0.998046875,1,1,Flaming structure in a fenced area with debris,dangerous fire,0.998046875,0.3588069677,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0094_FL_FWW_00351.jpg,0094_FL_FWW_00351.jpg,1,dangerous fire,TRUE,0.3769821823,0.3766140356,0.9990234375,1,Flaming structure in a fenced area with debris,dangerous fire,0.9936523438,0.9990234375,1,Flaming structure in a fenced area with debris,dangerous fire,0.9936523438,0.3769821823,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0095_FL_FWW_00143.jpg,0095_FL_FWW_00143.jpg,1,dangerous fire,TRUE,0.7559489012,0.7544724385,0.998046875,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8403320313,0.998046875,2,Building engulfed in large flames and thick smoke,dangerous fire,0.8403320313,0.7559489012,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0095_FL_FWW_00299.jpg,0095_FL_FWW_00299.jpg,1,dangerous fire,TRUE,0.7437908649,0.7430645067,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.7568359375,0.9990234375,2,Building engulfed in large flames and thick smoke,dangerous fire,0.7568359375,0.7437908649,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0098_FL_FWW_00053.jpg,0098_FL_FWW_00053.jpg,1,dangerous fire,FALSE,0,0,0,,,no-yolo-fire-detected,0,0.9990234375,1,Flaming structure in a fenced area with debris,dangerous fire,0.9736328125,0,no-yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0100_FL_FWW_00009.jpg,0100_FL_FWW_00009.jpg,1,dangerous fire,TRUE,0.5066199899,0.5063726168,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.5620117188,0.9995117188,1,Flaming structure in a fenced area with debris,dangerous fire,0.5620117188,0.5066199899,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0100_FL_FWW_00309.jpg,0100_FL_FWW_00309.jpg,1,dangerous fire,TRUE,0.3646425605,0.3641084161,0.9985351563,1,Flaming structure in a fenced area with debris,dangerous fire,0.7421875,0.9985351563,1,Flaming structure in a fenced area with debris,dangerous fire,0.7421875,0.3646425605,yolo-fire-detected
/content/drive/MyDrive/yolo-clip images/A1/0121_FL_FWW_00089.jpg,0121_FL_FWW_00089.jpg,1,dangerous fire,TRUE,0.5742465258,0.5717229815,0.9956054688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.98046875,0.9956054688,2,Building engulfed in large flames and thick smoke,dangerous fire,0.98046875,0.5742465258,yolo-fire-detected
