filename,phrase,meaningful_tokens,word_count,meaningful_token_count
0087_FL_FWW_00100.jpg,Flame engulfing construction site with bags.,flame engulfing construction site bags,6,5
0087_FL_FWW_00150.jpg,Flaming structure in a fenced area with debris.,flaming structure fenced area debris,8,5
0088_FL_FWW_00001.jpg,Flaming pile of debris in fenced area.,flaming pile debris fenced area,7,5
0089_FL_FWW_00001.jpg,Structure engulfed in flames within a greenhouse.,structure engulfed flames greenhouse,7,4
0091_FL_FWW_00050.jpg,"Structure engulfed in flames, large fire, industrial area.",structure engulfed flames large fire industrial area,8,7
0091_FL_FWW_00344.jpg,Flaming industrial area with smoke rising.,flaming industrial area smoke rising,6,5
0093_FL_FWW_00136.jpg,Firefighter battling a large fire in a greenhouse structure.,firefighter large fire greenhouse structure,9,5
0093_FL_FWW_00168.jpg,"Fire in greenhouse, flames and smoke, rural setting.",fire greenhouse flames smoke rural,8,5
0093_FL_FWW_00264.jpg,Industrial greenhouse engulfed in flames.,industrial greenhouse engulfed flames,5,4
0094_FL_FWW_00042.jpg,Large greenhouse engulfed in flames with thick black smoke rising.,large greenhouse engulfed flames thick black smoke rising,10,8
0094_FL_FWW_00351.jpg,Large fire burning inside a greenhouse structure.,large fire burning inside greenhouse structure,7,6
0095_FL_FWW_00143.jpg,Building engulfed in large flames and thick smoke.,building engulfed large flames thick smoke,8,6
0095_FL_FWW_00299.jpg,Building on fire with flames and smoke in an industrial area.,building fire flames smoke industrial area,11,6
0098_FL_FWW_00053.jpg,Burned building with ongoing flames in the ruins.,burned building ongoing flames ruins,8,5
0100_FL_FWW_00009.jpg,Building on fire with flames and smoke.,building fire flames smoke,7,4
0100_FL_FWW_00309.jpg,Flame inside burning building with metal scaffolding.,flame inside burning building metal scaffolding,7,6
0121_FL_FWW_00089.jpg,"Fire is present, large and intense, engulfing a building with smoke billowing.",fire present large intense engulfing building smoke billowing,12,8
0121_FL_FWW_00126.jpg,Building on fire with firefighters and smoke.,building fire firefighters smoke,7,4
0125_FL_FWW_00001.jpg,Building engulfed in intense flames.,building engulfed intense flames,5,4
0125_FL_FWW_00288.jpg,Firefighters battling a building fire at night.,firefighters building fire night,7,4
0127_FL_FWW_00358.jpg,Firefighters battling a building fire at night.,firefighters building fire night,7,4
