filename,phrase,meaningful_tokens,word_count,meaningful_token_count
candle1.jpg,Candlelight illuminates an open book on a reflective surface.,candlelight illuminates open book reflective surface,9,6
candle2.jpg,Candle flame illuminates an open book in a dark environment.,candle flame illuminates open book dark environment,10,7
candle3.jpg,"Candle flame in a dark, serene environment.",candle flame dark serene environment,7,5
candle4.jpg,Red candle flame with holiday decorations.,red candle flame holiday decorations,6,5
candle5.jpg,Red candles burning on a festive holiday arrangement.,red candles burning festive holiday arrangement,8,6
candle6.jpg,"Golden candle flames on a dark, festive background.",golden candle flames dark festive background,8,6
candle7.jpg,Red candles burning brightly against a black background.,red candles burning brightly black background,8,6
candle8.jpg,"Candlelight in a festive, dark holiday setting.",candlelight festive dark holiday setting,7,5
candle9.jpg,"Candlelight in festive, bokeh-lit environment.",candlelight festive bokeh-lit environment,5,4
candle10.jpg,Red candles lit on a green pine branch with flowers in the background.,red candles lit green pine branch flowers background,13,8
candle11.jpg,"Candle flame in festive, dimly lit environment.",candle flame festive dimly lit environment,7,6
candle12.jpg,"Candle flame in a dark, festive setting.",candle flame dark festive setting,7,5
candle13.jpg,Candle flame in dimly lit environment.,candle flame dimly lit environment,6,5
candle14.jpg,Flame burning inside a green apple against a dark background.,flame burning inside green apple dark background,10,7
candle15.jpg,Candle flame burning in a dark environment.,candle flame burning dark environment,7,5
candle16.jpg,"Candle flame in a dark, serene environment.",candle flame dark serene environment,7,5
candle17.jpg,Candle flame on a chocolate cake with flowers.,candle flame chocolate cake flowers,8,5
candle18.jpg,Golden Buddha statue with lit candles on wooden background.,golden buddha statue lit candles wooden background,9,7
candle19.jpg,"Candle flame burning in a dark, serene environment.",candle flame burning dark serene environment,8,6
candle20.jpg,Candle flame burning in a dark environment.,candle flame burning dark environment,7,5
candle21.jpg,Candle flame burning in a rustic setting.,candle flame burning rustic setting,7,5
candle22.jpg,"Candle flame illuminates a dim, textured surface.",candle flame illuminates dim textured surface,7,6
candle23.jpg,Candle flame burning in a dark environment.,candle flame burning dark environment,7,5
candle24.jpg,Candle flame burning in a dark environment.,candle flame burning dark environment,7,5
candle25.jpg,Candle flame burning in a dark environment.,candle flame burning dark environment,7,5
