filename,phrase,meaningful_tokens,word_count,meaningful_token_count
fireplace1.jpg,Fireplace in cozy room with children reading.,fireplace cozy room children reading,7,5
fireplace2.jpg,Modern living room with a lit fireplace.,modern living room lit fireplace,7,5
fireplace3.jpg,Wood-burning fireplace in a cozy cabin setting.,wood-burning fireplace cozy cabin setting,7,5
fireplace4.jpg,"Wooden cabin with a roaring fireplace, surrounded by large windows.",wooden cabin roaring fireplace surrounded large windows,10,7
fireplace5.jpg,Wood-burning fireplace in a cozy living room.,wood-burning fireplace cozy living room,7,5
fireplace6.jpg,"Wood-burning stove with flames, surrounded by logs, in a cozy room.",wood-burning stove flames surrounded logs cozy room,11,7
fireplace7.jpg,"Wood-burning stove with a roaring fire, surrounded by rustic kitchen elements.",wood-burning stove roaring fire surrounded rustic kitchen elements,11,8
fireplace8.jpg,"Wood-burning fireplace with a roaring fire, surrounded by vintage decor.",wood-burning fireplace roaring fire surrounded vintage decor,10,7
fireplace9.jpg,Wood-burning stove in cozy cabin with a roaring fire.,wood-burning stove cozy cabin roaring fire,9,6
fireplace10.jpg,Wood-burning fireplace in a cozy living room.,wood-burning fireplace cozy living room,7,5
fireplace11.jpg,"Modern fireplace with realistic flames, flanked by potted plants.",modern fireplace realistic flames flanked potted plants,9,7
fireplace12.jpg,"Living room fireplace with burning fire, TV above, modern decor.",living room fireplace burning fire tv above modern decor,10,9
fireplace13.jpg,Modern wall-mounted electric fireplace in living room.,modern wall-mounted electric fireplace living room,7,6
fireplace14.jpg,"Stylish stone fireplace with a roaring fire, surrounded by cozy cushions.",stylish stone fireplace roaring fire surrounded cozy cushions,11,8
fireplace15.jpg,Wood-burning fireplace in a cozy outdoor setting.,wood-burning fireplace cozy outdoor setting,7,5
fireplace16.jpg,White fireplace with a roaring fire inside.,white fireplace roaring fire inside,7,5
fireplace17.jpg,White fireplace with a realistic electric fire burning.,white fireplace realistic electric fire burning,8,6
fireplace18.jpg,"Stove with roaring fire inside, surrounded by black legs.",stove roaring fire inside surrounded black legs,9,7
fireplace19.jpg,Wood-burning fireplace in a modern living room.,wood-burning fireplace modern living room,7,5
fireplace20.jpg,"Outdoor fire pit with a roaring fire, surrounded by a garden and wooden fence.",outdoor fire pit roaring fire surrounded garden wooden fence,14,9
fireplace21.jpg,"Outdoor brick pizza oven on a patio, surrounded by greenery.",outdoor brick pizza oven patio surrounded greenery,10,7
fireplace22.jpg,Outdoor fireplace with burning logs and flames.,outdoor fireplace burning logs flames,7,5
fireplace23.jpg,Outdoor fireplace with burning logs and surrounding greenery.,outdoor fireplace burning logs surrounding greenery,8,6
fireplace24.jpg,"Fireplace with a warm, flickering flame.",fireplace warm flickering flame,6,4
fireplace25.jpg,"Wood-burning stove with a roaring fire, outdoors.",wood-burning stove roaring fire outdoors,7,5
fireplace26.jpg,"Electric fireplace with glowing embers, modern design.",electric fireplace glowing embers modern design,7,6
fireplace27.jpg,"Stove with roaring fire, brick wall, wooden floor.",stove roaring fire brick wall wooden floor,8,7
fireplace28.jpg,"Traditional outdoor fireplace with a cooking flame, surrounded by wooden fencing.",traditional outdoor fireplace cooking flame surrounded wooden fencing,11,8
fireplace29.jpg,"Wood-burning stove with flames, cozy room with rugs and furniture.",wood-burning stove flames cozy room rugs furniture,10,7
fireplace30.jpg,"Fireplace with realistic flames, surrounded by stone and wood, in a cozy room.",fireplace realistic flames surrounded stone wood cozy room,13,8
fireplace31.jpg,"Modern fireplace with a roaring fire, surrounded by warm, neutral tones.",modern fireplace roaring fire surrounded warm neutral tones,11,8
fireplace32.jpg,"Modern fireplace with burning wood logs, surrounded by plants and cushions.",modern fireplace burning wood logs surrounded plants cushions,11,8
