filename,phrase,meaningful_tokens,word_count,meaningful_token_count
bonfire1.jpg,Campfire in a forest setting.,campfire forest setting,5,3
bonfire10.jpg,Campfire in a forest setting.,campfire forest setting,5,3
bonfire100.jpg,Campfire burning in a grassy area.,campfire burning grassy area,6,4
bonfire1.jpg,Campfire in a forest at dusk.,campfire forest dusk,6,3
bonfire10.jpg,Campfire in a forest setting.,campfire forest setting,5,3
bonfire100.jpg,Campfire burning in a grassy area.,campfire burning grassy area,6,4
bonfire101.jpg,"Campfire in a backyard at night, surrounded by people.",campfire backyard night surrounded people,9,5
bonfire102.jpg,Campfire burning on rocky terrain.,campfire burning rocky terrain,5,4
bonfire1.jpg,Campfire in a forest at dusk.,campfire forest dusk,6,3
bonfire2.jpg,"Beach campfire with marshmallows, twilight backdrop.",beach campfire marshmallows twilight backdrop,6,5
bonfire3.jpg,Campfire in a backyard setting at dusk.,campfire backyard setting dusk,7,4
bonfire4.jpg,"Campfire at night, illuminated gathering.",campfire night illuminated gathering,5,4
bonfire5.jpg,Campfire in a grassy outdoor setting with tents.,campfire grassy outdoor setting tents,8,5
bonfire6.jpg,"Campfire in a grassy, open field.",campfire grassy open field,6,4
bonfire7.jpg,"Campfire in a foggy, open field.",campfire foggy open field,6,4
bonfire8.jpg,Campfire on a sandy beach at dusk.,campfire sandy beach dusk,7,4
bonfire9.jpg,Campfire with marshmallows roasting on sticks.,campfire marshmallows roasting sticks,6,4
bonfire10.jpg,Campfire in a forest setting.,campfire forest setting,5,3
bonfire11.jpg,Campfire in a forest setting with a man and child.,campfire forest setting man child,10,5
bonfire12.jpg,Campfire in a forest setting with marshmallows.,campfire forest setting marshmallows,7,4
bonfire13.jpg,Campfire in a forest setting.,campfire forest setting,5,3
bonfire14.jpg,Campfire in a forest setting with a child and adult.,campfire forest setting child adult,10,5
bonfire15.jpg,Campfire by a serene lakeside.,campfire serene lakeside,5,3
bonfire16.jpg,Campfire burning on rocky terrain.,campfire burning rocky terrain,5,4
bonfire17.jpg,Campfire by the lakeside at dusk.,campfire lakeside dusk,6,3
bonfire18.jpg,Campfire by a lakeside at dusk.,campfire lakeside dusk,6,3
bonfire19.jpg,Campfire by the ocean at dusk.,campfire ocean dusk,6,3
bonfire20.jpg,Campfire by the ocean at dusk.,campfire ocean dusk,6,3
bonfire21.jpg,Campfire by the beach at sunset.,campfire beach sunset,6,3
bonfire22.jpg,Campfire burning brightly in a dark outdoor setting.,campfire burning brightly dark outdoor setting,8,6
bonfire23.jpg,Campfire in a forest setting with logs nearby.,campfire forest setting logs nearby,8,5
bonfire24.jpg,Campfire cooking with flames and rocks.,campfire cooking flames rocks,6,4
bonfire25.jpg,Campfire in a wooded outdoor setting.,campfire wooded outdoor setting,6,4
bonfire26.jpg,Campfire burning in a natural outdoor setting.,campfire burning natural outdoor setting,7,5
bonfire27.jpg,Campfire burning in a forest clearing at dusk.,campfire burning forest clearing dusk,8,5
bonfire28.jpg,Campfire glow illuminates a cozy outdoor gathering.,campfire glow illuminates cozy outdoor gathering,7,6
bonfire29.jpg,Campfire on a beach with distant islands.,campfire beach distant islands,7,4
bonfire30.jpg,"Campfire in a dark, outdoor setting.",campfire dark outdoor setting,6,4
bonfire31.jpg,Campfire in a forest setting.,campfire forest setting,5,3
bonfire32.jpg,Campfire in a forest setting.,campfire forest setting,5,3
bonfire33.jpg,Campfire burning in a rocky outdoor setting.,campfire burning rocky outdoor setting,7,5
bonfire34.jpg,Campfire by a lakeside at sunset.,campfire lakeside sunset,6,3
bonfire35.jpg,Campfire burning in a dark outdoor setting.,campfire burning dark outdoor setting,7,5
bonfire36.jpg,Campfire in a forest setting at dusk.,campfire forest setting dusk,7,4
bonfire37.jpg,Campfire burning in a rocky outdoor setting.,campfire burning rocky outdoor setting,7,5
bonfire38.jpg,Campfire cooking with a skillet and grill.,campfire cooking skillet grill,7,4
bonfire39.jpg,Campfire burning in a forested area.,campfire burning forested area,6,4
bonfire40.jpg,Campfire in snowy forest setting.,campfire snowy forest setting,5,4
