filename,category_folder,phrase,meaningful_tokens,word_count,meaningful_token_count
smoking1.jpg,smoking,"Multiple hands holding lighter, producing visible flames and smoke.",multiple hands holding lighter producing visible flames smoke,9,8
smoking10.jpg,smoking,"Person exhales smoke from a cigarette, emitting visible blue-gray vapor.",person exhales smoke cigarette emitting visible blue-gray vapor,10,8
smoking100.jpg,smoking,"The woman is holding a cigarette, exhaling a thin plume of smoke.",woman holding cigarette exhaling thin plume smoke,12,7
smoking101.jpg,smoking,"Person exhales smoke from a cigarette, holding a bottle with vapor.",person exhales smoke cigarette holding bottle vapor,11,7
smoking102.jpg,smoking,"Man exhales smoke from a lit cigarette, emitting visible white vapor.",man exhales smoke lit cigarette emitting visible white vapor,11,9
smoking103.jpg,smoking,"The woman is holding a cigarette, exhaling a thin stream of smoke.",woman holding cigarette exhaling thin stream smoke,12,7
smoking104.jpg,smoking,"Man holding lit cigarette, exhaling visible smoke and vapor.",man holding lit cigarette exhaling visible smoke vapor,9,8
smoking105.jpg,smoking,"The person is holding a cigarette, emitting a thin plume of smoke.",person holding cigarette emitting thin plume smoke,12,7
smoking106.jpg,smoking,"Young man exhales smoke from a lit cigarette, emitting visible white vapor.",young man exhales smoke lit cigarette emitting visible white vapor,12,10
smoking107.jpg,smoking,"Elderly person exhales smoke from a lit cigarette, holding it near mouth.",elderly person exhales smoke lit cigarette holding mouth,12,8
smoking108.jpg,smoking,"Man exhales smoke from cigarette, holding beer bottle, white tank top.",man exhales smoke cigarette holding beer bottle white tank top,11,10
smoking109.jpg,smoking,"Man exhales smoke from a lit cigarette, holding it near his lips.",man exhales smoke lit cigarette holding his lips,12,8
smoking11.jpg,smoking,"Person exhaling smoke from a hookah, holding it with both hands, dark background.",person exhaling smoke hookah holding both hands dark background,13,9
smoking110.jpg,smoking,"The person is holding a cigarette, exhaling a thin plume of smoke.",person holding cigarette exhaling thin plume smoke,12,7
smoking111.jpg,smoking,"Woman exhales smoke from a cigarette, emitting visible white vapor.",woman exhales smoke cigarette emitting visible white vapor,10,8
smoking112.jpg,smoking,"The person is holding a lit cigarette, exhaling a thin plume of smoke.",person holding lit cigarette exhaling thin plume smoke,13,8
smoking113.jpg,smoking,"The person is holding a cigarette, exhaling smoke, with visible emissions from combustion.",person holding cigarette exhaling smoke visible emissions combustion,13,8
smoking114.jpg,smoking,"Man exhales smoke from a lit cigarette, holding it near his mouth.",man exhales smoke lit cigarette holding his mouth,12,8
smoking115.jpg,smoking,"Person exhales smoke from a cigarette, emitting visible white vapor.",person exhales smoke cigarette emitting visible white vapor,10,8
smoking116.jpg,smoking,"Person holding a cigarette, exhaling visible smoke and vapor.",person holding cigarette exhaling visible smoke vapor,9,7
smoking117.jpg,smoking,"Man exhales smoke from cigarette, holding lighter in hand.",man exhales smoke cigarette holding lighter hand,9,7
smoking118.jpg,smoking,"Man holds lighter, igniting cigarette; visible smoke rising from it.",man holds lighter igniting cigarette visible smoke rising,10,8
smoking119.jpg,smoking,"Smoking cigarette, exhaling visible white smoke, hand near face.",smoking cigarette exhaling visible white smoke hand face,9,8
smoking12.jpg,smoking,"Man exhales smoke from a lit cigar, holding it between fingers.",man exhales smoke lit cigar holding fingers,11,7
smoking120.jpg,smoking,"Woman on left holds a bottle, emitting a light vapor. Woman in center smokes a cigarette, exhaling visible smoke. Woman on right holds a cigarette, with smoke visibly rising.",woman left holds bottle emitting light vapor woman center smokes cigarette exhaling visible smoke woman right holds cigarette smoke visibly rising,29,21
smoking121.jpg,smoking,Elderly person exhales smoke from a red lighter held in both hands.,elderly person exhales smoke red lighter held both hands,12,9
smoking122.jpg,smoking,"Man exhales smoke from a cigarette, with visible blue-gray emissions.",man exhales smoke cigarette visible blue-gray emissions,10,7
smoking123.jpg,smoking,"The person is holding a lit cigarette, emitting a small plume of smoke.",person holding lit cigarette emitting small plume smoke,13,8
smoking124.jpg,smoking,"Woman exhales smoke from a cigarette, emitting visible white vapor.",woman exhales smoke cigarette emitting visible white vapor,10,8
smoking125.jpg,smoking,"Man exhales smoke from a lit cigarette, with visible ash and ember.",man exhales smoke lit cigarette visible ash ember,12,8
smoking126.jpg,smoking,"Person holding lit cigarette, exhaling smoke, driving a car.",person holding lit cigarette exhaling smoke driving car,9,8
smoking127.jpg,smoking,"Man exhales smoke from a cigarette, visible vapor dissipating into the air.",man exhales smoke cigarette visible vapor dissipating air,12,8
smoking128.jpg,smoking,Person exhales smoke from a cigarette held between lips.,person exhales smoke cigarette held lips,9,6
smoking129.jpg,smoking,"The person is holding a cigarette, exhaling smoke, with a white cloth on their head.",person holding cigarette exhaling smoke white cloth head,15,8
smoking13.jpg,smoking,"Person exhaling smoke from a lit cigarette, pink nail polish visible.",person exhaling smoke lit cigarette pink nail polish visible,11,9
smoking130.jpg,smoking,"Hand holding lit cigarette, emitting white smoke, gripping steering wheel.",hand holding lit cigarette emitting white smoke gripping steering wheel,10,10
smoking131.jpg,smoking,"Person exhaling smoke from a lit cigarette, holding it with fingers.",person exhaling smoke lit cigarette holding fingers,11,7
smoking132.jpg,smoking,"Man exhales smoke from a cigarette, holding it near his mouth.",man exhales smoke cigarette holding his mouth,11,7
smoking133.jpg,smoking,"Three women holding cigarettes, exhaling visible smoke.",three women holding cigarettes exhaling visible smoke,7,7
smoking134.jpg,smoking,"Man exhales smoke from a lit cigarette, visible vapor and particles in the air.",man exhales smoke lit cigarette visible vapor particles air,14,9
smoking135.jpg,smoking,"Person exhales smoke from a cigarette, emitting visible white vapor.",person exhales smoke cigarette emitting visible white vapor,10,8
smoking136.jpg,smoking,"Man exhales smoke from cigarette, illuminated by bar lights.",man exhales smoke cigarette illuminated bar lights,9,7
smoking137.jpg,smoking,"Person exhaling smoke from a cigarette, emitting visible white vapor.",person exhaling smoke cigarette emitting visible white vapor,10,8
smoking138.jpg,smoking,"Hand holding lit cigarette, emitting visible smoke.",hand holding lit cigarette emitting visible smoke,7,7
smoking139.jpg,smoking,"Woman exhales smoke from a lit cigarette, emitting visible white vapor.",woman exhales smoke lit cigarette emitting visible white vapor,11,9
smoking14.jpg,smoking,"Man exhales smoke from a lit cigarette, emitting visible white vapor.",man exhales smoke lit cigarette emitting visible white vapor,11,9
smoking140.jpg,smoking,"Person exhaling smoke from a cigarette, with visible white vapor and dark smoke.",person exhaling smoke cigarette visible white vapor dark smoke,13,9
smoking141.jpg,smoking,"Man exhales smoke from cigarette, holding glass with amber liquid.",man exhales smoke cigarette holding glass amber liquid,10,8
smoking142.jpg,smoking,"Person lighting a cigarette with a match, producing visible smoke.",person lighting cigarette match producing visible smoke,10,7
smoking143.jpg,smoking,Person exhales smoke from a cigarette held between fingers.,person exhales smoke cigarette held fingers,9,6
